"","NNID","DATUM","OBA","OBA_WERT","NAME","SPRACHE","GENUS","NAME2","SPRACHE2","GENUS2","ZUSATZ","AGS","RS","HOEHE","HOEHE_GER","EWZ","EWZ_GER","GEWK","GEMTEIL","VIRTUELL","GEMEINDE","VERWGEM","KREIS","REGBEZIRK","BUNDESLAND","STAAT","GEOLA","GEOBR","GKRE","GKHO","UTMRE","UTMHO","BOX_GEO","BOX_GK","BOX_UTM"
"257","DEBKGGND00002FJJ","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Lauenstein","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",11.37,50.5133333333333,36681694559086096,56001853962356296,6680277452755111,55983838254871296,"POLYGON ((11.3627444887383 50.508921643888,11.3631932861287 50.5179072431319,11.3772866798066 50.5176201784216,11.3768352120462 50.5086346703021,11.3627444887383 50.508921643888))","POLYGON ((3667669.26038824 5599685.1920407,3667669.24960722 5600685.59278104,3668669.6514276 5600685.60042124,3668669.66221988 5599685.19947396,3667669.26038824 5599685.1920407))","POLYGON ((667527.745275511 5597883.82548714,667527.745275511 5598883.82548714,668527.745275511 5598883.82548714,668527.745275511 5597883.82548714,667527.745275511 5597883.82548714))"
"258","DEBKGGND00002FJU","01.12.2016","AX_Gebaeude","Burg, Festung","Wewelsburg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",8.65138888888889,51.6063888888889,34759279176355496,57191812222907200,4758637657943790,57173338665884696,"POLYGON ((8.64428099282899 51.6020081351422,8.64421072041943 51.6109995253462,8.65865214572268 51.611042400948,8.65871956592509 51.6020509970114,8.64428099282899 51.6020081351422))","POLYGON ((3475427.72657221 5718681.01278533,3475427.71244071 5719681.4152301,3476428.10868929 5719681.43165681,3476428.12283853 5718681.02927028,3475427.72657221 5718681.01278533))","POLYGON ((475363.765794379 5716833.86658847,475363.765794379 5717833.86658847,476363.765794379 5717833.86658847,476363.765794379 5716833.86658847,475363.765794379 5716833.86658847))"
"259","DEBKGGND00002FKQ","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Hirschhorn","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",8.89666666666667,49.4516666666667,34925924454498600,54794102135747104,4925201534073110,54776579839059096,"POLYGON ((8.88991142964524 49.4470321643776,8.88989128415201 49.4560270574937,8.90368961211803 49.4560393702181,8.90370723307904 49.4470444732152,8.88991142964524 49.4470321643776))","POLYGON ((3492092.24758086 5478910.01318101,3492092.24831404 5479910.41091592,3493092.6432903 5479910.41399045,3493092.64261192 5478910.01598544,3492092.24758086 5478910.01318101))","POLYGON ((492020.153407312 5477157.9839059,492020.153407312 5478157.9839059,493020.153407312 5478157.9839059,493020.153407312 5477157.9839059,492020.153407312 5477157.9839059))"
"260","DEBKGGND00002FKR","01.12.2016","AX_Gebaeude","Burg, Festung","Cadolzburg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",10.8511111111111,49.4602777777778,36342732443888096,54820206541122600,6341444339686190,54802669163645896,"POLYGON ((10.8441147871136 49.4558484672562,10.8444522952103 49.4648386981221,10.8582458746277 49.4646178451602,10.8579058460323 49.4556276839792,10.8441147871136 49.4558484672562))","POLYGON ((3633773.04841298 5481520.4524206,3633773.04180357 5482520.85199325,3634773.44045436 5482520.85574393,3634773.44688985 5481520.45606523,3633773.04841298 5481520.4524206))","POLYGON ((633644.433968618 5479766.91636459,633644.433968618 5480766.91636459,634644.433968618 5480766.91636459,634644.433968618 5479766.91636459,633644.433968618 5479766.91636459))"
"261","DEBKGGND00002FKT","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Mühlburg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",10.8322222222222,50.8688888888889,36290411979746800,56386759145675696,6289155641732930,56368593501267000,"POLYGON ((10.8248323640899 50.8646434941713,10.8251834380315 50.873631630715,10.839388743684 50.8734085760634,10.8390349410928 50.8644205105246,10.8248323640899 50.8646434941713))","POLYGON ((3628541.00445186 5638175.70893897,3628540.99330801 5639176.10945936,3629541.39221723 5639176.12029755,3629541.4033026 5638175.71971044,3628541.00445186 5638175.70893897))","POLYGON ((628415.564173291 5636359.3501267,628415.564173291 5637359.3501267,629415.564173291 5637359.3501267,629415.564173291 5636359.3501267,628415.564173291 5636359.3501267))"
"262","DEBKGGND00002FKZ","01.12.2016","AX_Gebaeude","Burg, Festung","Haneburg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",7.44361111111111,53.2272222222222,33961280941680896,59006091931550400,3960983674673360,58986908589911896,"POLYGON ((7.43621490346514 53.2227453188998,7.4358874215292 53.2317310524802,7.45086308334905 53.2319266621809,7.451187432866 53.2229408650309,7.43621490346514 53.2227453188998))","POLYGON ((3395627.90259872 5900108.98683042,3395627.88839509 5901109.38484747,3396628.28574286 5901109.3993613,3396628.29993119 5900109.00136675,3395627.90259872 5900108.98683042))","POLYGON ((395598.367467336 5898190.85899119,395598.367467336 5899190.85899119,396598.367467336 5899190.85899119,396598.367467336 5898190.85899119,395598.367467336 5898190.85899119))"
"263","DEBKGGND00002FL4","01.12.2016","AX_Gebaeude","Burg, Festung","Wartburg","deutsch",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",10.3061111111111,50.9658333333333,35918332220347400,56486633110633504,5917225415124360,56468431134020200,"POLYGON ((10.2989766636772 50.9614667928366,10.2992274538572 50.9704570319435,10.3134658674127 50.9702977738,10.3132123307035 50.9613075854381,10.2989766636772 50.9614667928366))","POLYGON ((3591333.02687941 5648163.10599719,3591333.01678619 5649163.50664716,3592333.4171565 5649163.51594497,3592333.4273203 5648163.1154427,3591333.02687941 5648163.10599719))","POLYGON ((591222.541512434 5646343.11340201,591222.541512434 5647343.11340201,592222.541512434 5647343.11340201,592222.541512434 5646343.11340201,591222.541512434 5646343.11340201))"
"264","DEBKGGND00002FLN","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Königstein","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",8.46083333333333,50.1822222222222,34615597388127896,55608231197187104,4615002440654280,55590387398168400,"POLYGON ((8.45380234970105 50.1777671062396,8.45369978488189 50.1867604667213,8.46770692069457 50.1868254913999,8.46780685605862 50.1778321103048,8.45380234970105 50.1777671062396))","POLYGON ((3461059.54338517 5560322.91748308,3461059.5363288 5561323.31502412,3462059.9342439 5561323.32185382,3462059.94129119 5560322.92429015,3461059.54338517 5560322.91748308))","POLYGON ((461000.244065429 5558538.73981683,461000.244065429 5559538.73981683,462000.244065429 5559538.73981683,462000.244065429 5558538.73981683,461000.244065429 5558538.73981683))"
"265","DEBKGGND00002FM4","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Wolfsegg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",11.9769444444444,49.1061111111111,37174275118628000,54452675514279104,7172649790170040,54435281331867000,"POLYGON ((11.9698467386941 49.1018670971437,11.9703833906596 49.1108504484959,11.9840671956925 49.1104972453296,11.9835280804318 49.1015140051269,11.9698467386941 49.1018670971437))","POLYGON ((3716927.31140493 5444767.3479022,3716927.30615047 5445767.75034894,3717927.71233431 5445767.75492458,3717927.71757505 5444767.35229076,3716927.31140493 5444767.3479022))","POLYGON ((716764.979017003 5443028.1331867,716764.979017003 5444028.1331867,717764.979017003 5444028.1331867,717764.979017003 5443028.1331867,716764.979017003 5443028.1331867))"
"266","DEBKGGND00002FM8","01.12.2016","AX_Gebaeude","Burg, Festung","Ruine Scharfenberg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",9.81138888888889,48.6691666666667,35598480575164100,53927183197399200,5597487224171340,53910006242656096,"POLYGON ((9.80466147013298 48.6647455547585,9.80480471326137 48.6737408016337,9.81838677417917 48.6736451096188,9.81824111430032 48.6646498928333,9.80466147013298 48.6647455547585))","POLYGON ((3559347.85670256 5392218.1182971,3559347.85691 5393218.51823771,3560348.25827205 5393218.5210997,3560348.25818152 5392218.12109837,3559347.85670256 5392218.1182971))","POLYGON ((559248.722417134 5390500.62426561,559248.722417134 5391500.62426561,560248.722417134 5391500.62426561,560248.722417134 5390500.62426561,559248.722417134 5390500.62426561))"
